Careless;HE01_01_r;HE01_09_r;HE01_10_r;HE01_12_r;HE01_14_r;HE01_15_r;HE01_19_r;HE01_20_r;HE01_21_r;HE01_24_r;HE01_26_r;HE01_28_r;HE01_30_r;HE01_31_r;HE01_32_r;HE01_35_r;HE01_41_r;HE01_42_r;HE01_44_r;HE01_46_r;HE01_48_r;HE01_49_r;HE01_52_r;HE01_53_r;HE01_55_r;HE01_56_r;HE01_57_r;HE01_59_r;HE01_60_r;HE01_02;HE01_03;HE01_04;HE01_05;HE01_06;HE01_07;HE01_08;HE01_11;HE01_13;HE01_16;HE01_17;HE01_18;HE01_22;HE01_23;HE01_25;HE01_27;HE01_29;HE01_33;HE01_34;HE01_36;HE01_37;HE01_38;HE01_39;HE01_40;HE01_43;HE01_45;HE01_47;HE01_50;HE01_51;HE01_54;HE01_58;time_p1;time_p2;time_p3;time_p4;time_p5;time_p6;sex;age;SO04;SO06;longstr;avgstr;longstr1;longstr6;longstrDiff;irvTotal;irv1;irv6;irvDiff;res_mahad;res_psycsyn;res_evenodd;res_u3poly
1;3;4;5;2;5;2;4;4;4;4;4;3;4;4;4;2;2;2;4;4;2;4;4;3;4;3;4;3;2;2;2;4;4;3;4;4;3;3;3;3;2;4;2;3;2;2;4;3;4;5;4;4;3;4;4;2;5;2;4;4;76175;84323;62446,67;62128,75;49903;67147,5;2;28;1;3;4;1,42857142857143;2;2;0;0,998728004573139;1,10050493461461;0,875595035770913;0,224909898843699;45,4325118777598;-0,0253842599073306;0,822020697998492;0,1224
0;5;1;4;2;4;2;3;2;5;4;4;3;2;2;2;2;2;2;4;1;4;4;3;1;3;4;3;3;2;3;2;4;1;2;4;4;4;5;4;3;2;3;4;5;2;4;3;3;4;4;2;4;3;3;3;4;4;4;3;3;63370;57181,11;50418,05;59816,7;75931,5;81621,62;1;29;1;1;4;1,36363636363636;2;3;-1;1,04746128388735;1,3984117975602;0,823272602348565;0,575139195211637;72,8306759005022;0,0254348218462144;-0,465251031927812;0,1395
1;4;2;4;5;3;2;3;2;3;3;4;3;3;4;4;3;4;4;4;4;3;4;2;3;3;3;2;4;5;3;2;4;3;3;3;4;4;4;4;4;3;3;4;4;3;3;4;4;4;4;4;3;3;3;3;4;5;3;4;4;71454,67;76936,25;67946,25;61597,78;70746,06;71893;1;62;2;5;4;1,42857142857143;3;2;1;0,865372784698696;0,816496580927726;0,994428926011753;-0,177932345084027;26,7084601218468;-0,258847709859345;0,786604296108729;0,0861
0;5;2;2;5;4;3;1;3;5;5;2;4;5;2;3;4;4;5;4;3;5;3;3;4;5;4;2;4;5;5;2;3;2;4;5;3;4;4;4;4;5;3;4;5;3;4;2;4;5;4;4;2;3;4;3;3;2;2;4;1;99552,2;86687,67;78271,4;87937,2;67444,65;86805,15;1;77;1;5;3;1,15384615384615;2;1;1;1,26613875409955;1,33749350984926;1,13529242439509;0,202201085454165;50,6734607165983;-0,141544491964806;0,862261354818581;0,1661
1;2;4;1;4;4;5;5;4;5;4;3;3;3;3;5;5;5;5;2;1;4;4;2;5;5;3;4;5;5;4;5;2;4;4;3;3;5;5;3;3;1;3;5;2;3;5;3;1;5;2;3;3;2;5;4;5;4;4;4;1;54389;53680;37836,67;50605,56;44035;49809;1;24;1;1;3;1,5;2;3;-1;1,40419066099635;1,07496769977314;1,3984117975602;-0,323444097787062;73,4442554789794;-0,456779856243669;0,949506626956371;0,3052
0;5;3;4;3;4;3;3;4;5;5;4;3;5;3;4;4;2;3;4;2;4;5;5;1;5;4;4;4;2;3;3;5;1;4;5;5;1;4;4;2;3;3;3;3;3;4;3;5;2;5;4;1;3;5;5;2;3;3;4;3;78261,56;76413;58267;59148,55;57367;83538;1;56;1;3;2;1,17647058823529;2;2;0;1,25987623820486;1,54919333848297;1,33749350984926;0,211699828633708;58,9375562611921;-0,540746304673055;0,650056432138577;0,1835
1;3;4;4;5;3;4;1;4;5;5;4;4;5;2;5;4;2;3;4;3;5;5;5;3;5;4;5;4;5;4;4;4;5;5;5;3;2;5;3;2;4;4;3;3;4;3;4;4;1;5;4;4;3;5;4;3;4;4;1;3;64607;69742;57753;53914;62236;77399,95;2;88;1;5;3;1,25;3;2;1;1,33816215986767;1,15950180872841;1,10050493461461;0,0589968741137938;72,1327276980206;-0,391147765563798;-0,839604220416645;0,2134
1;5;1;5;1;4;2;4;4;4;4;5;4;4;5;3;3;2;4;2;2;5;1;4;3;4;5;3;4;1;5;2;4;3;4;3;2;4;5;5;4;4;5;1;2;2;3;2;2;2;2;2;2;3;5;3;4;2;2;5;2;62055,56;61151,25;44328;44868,89;47432,22;60495;1;67;1;5;4;1,30434782608696;1;2;-1;1,30795048196667;1,49071198499986;1,33749350984926;0,153218475150601;86,2778199945765;-0,188870158465792;0,609148341110361;0,226
0;4;1;4;4;5;3;4;4;5;4;5;3;4;4;5;5;4;4;5;2;3;2;2;5;4;4;5;5;5;5;3;2;4;4;4;4;5;5;4;4;3;2;4;2;2;5;2;1;2;4;4;1;2;4;5;4;3;3;5;2;40752;39280;33871;34972,22;26038;35955,56;1;26;1;1;4;1,33333333333333;4;2;2;1,33868980554878;1,17851130197758;1,3984117975602;-0,219900495582623;62,9246425462557;-0,553684601311297;0,966333812524507;0,2191
1;4;5;3;2;3;5;2;4;5;5;3;4;4;2;3;4;1;4;4;2;3;2;5;1;3;3;4;3;2;4;3;4;1;1;4;4;4;5;3;4;3;4;1;4;2;2;3;2;5;3;3;3;2;4;4;3;1;4;2;2;32128;44778,89;26395;41318,75;33865;49600,67;2;30;1;1;4;1,33333333333333;2;2;0;1,18022788185475;1,33749350984926;1,19721899973786;0,140274510111394;61,0914474663923;-0,492105713062084;0,513122466840677;0,1605
